Github Username,Label,Label,Label
ooimingsheng,tutorial.CS2103-T11,team.3,tutor.nbriannl
HoWeiChin,tutorial.CS2103-T11,team.3,tutor.nbriannl
belbel98,tutorial.CS2103-T11,team.3,tutor.nbriannl
shawnkoh,tutorial.CS2103-T11,team.3,tutor.nbriannl
AHaliq,tutorial.CS2103-F09,team.2,tutor.cchj1995
huiminlim,tutorial.CS2103-F09,team.2,tutor.cchj1995
nattanyz,tutorial.CS2103-F09,team.2,tutor.cchj1995
PhireHandy,tutorial.CS2103-F09,team.2,tutor.cchj1995
timothyleong97,tutorial.CS2103-F09,team.2,tutor.cchj1995
shawnpunchew11,tutorial.CS2103-F09,team.2,tutor.cchj1995
SendorasLeft,tutorial.CS2103-T11,team.2,tutor.damithc
CheongLiYuan,tutorial.CS2103-T11,team.2,tutor.damithc
MistyRainforest,tutorial.CS2103-T11,team.2,tutor.damithc
AaronLuk,tutorial.CS2103-T11,team.2,tutor.damithc
chensu2436,tutorial.CS2103-T11,team.2,tutor.damithc
openorclose,tutorial.CS2103T-T13,team.4,tutor.kylase-learning
kxyoke,tutorial.CS2103T-T13,team.4,tutor.kylase-learning
Na-Nazhou,tutorial.CS2103T-T13,team.4,tutor.kylase-learning
TSAI-HSIAO-HAN,tutorial.CS2103T-T13,team.4,tutor.kylase-learning
dorcastan,tutorial.CS2103T-T13,team.4,tutor.kylase-learning
jon-chua,tutorial.CS2103T-F13,team.2,tutor.tanlongbin
seanlowjk,tutorial.CS2103T-F13,team.2,tutor.tanlongbin
fatclarence,tutorial.CS2103T-F13,team.2,tutor.tanlongbin
robytanama,tutorial.CS2103T-F13,team.2,tutor.tanlongbin
Raikonen,tutorial.CS2103T-F13,team.2,tutor.tanlongbin
iltep64,tutorial.CS2103T-W11,team.4,tutor.kylase-learning
fangpinsern,tutorial.CS2103T-W11,team.4,tutor.kylase-learning
FelixNWJ,tutorial.CS2103T-W11,team.4,tutor.kylase-learning
MauriceTXS,tutorial.CS2103T-W11,team.4,tutor.kylase-learning
LivingOnEdge,tutorial.CS2103-T16,team.3,tutor.zht96830
moziliar,tutorial.CS2103-T16,team.3,tutor.zht96830
gary-lgy,tutorial.CS2103-T16,team.3,tutor.zht96830
cutieprobe,tutorial.CS2103-T16,team.3,tutor.zht96830
jonchan51,tutorial.CS2103-T16,team.3,tutor.zht96830
